2848,2,2
2026,2,2
10295,2,2
11890,38,38
22262,6,6
6122,6,6
12267,8,8
28365,2,2
23772,2,2
8533,8,8
12377,2,2
9243,2,2
36349,2,2
21905,12,12
31517,2,2
31603,2,2
10627,2,2
17116,30,30
11257,6,6
26461,2,2
16828,2,2
36495,2,2
5161,4,4
13729,2,2
10876,6,6
33463,10,10
14619,10,10
16533,18,18
36049,6,6
36021,6,6
31669,2,2
25217,2,2
29908,2,2
22883,4,4
16106,4,4
20943,20,20
16278,10,10
29801,6,6
21854,22,22
34882,6,6
9203,32,32
33793,6,6
15280,20,20
21273,2,2
29499,4,4
4387,46,46
24046,2,2
31276,2,2
1487,118,118
16408,22,22
15480,12,12
25411,2,2
30739,4,4
3924,44,44
23494,8,8
3142,10,10
13419,48,48
24830,10,10
12558,12,12
36392,8,8
33831,4,4
32900,2,2
15189,6,6
1065,6,6
19027,6,6
34965,6,6
19526,4,4
29868,6,6
18392,4,4
14294,6,6
6680,2,2
35312,8,8
28716,8,8
32564,2,2
33490,2,2
1999,2,2
28265,2,2
34937,10,10
31908,2,2
30549,2,2
14898,2,2
12124,20,20
18159,12,12
8716,8,8
27026,6,6
10293,2,2
3510,4,4
9408,12,12
28393,2,2
18539,8,8
16644,8,8
36016,2,2
30458,2,2
13613,12,12
11200,20,20
33177,14,14
36081,16,16
24838,16,16
25774,4,4
12232,2,2
34983,12,12
7027,2,2
19118,18,18
12074,12,12
5170,88,88
32199,2,2
16661,16,16
9916,2,2
24363,4,4
13206,20,20
478,1214,1214
17261,24,24
33137,8,8
1982,16,16
22151,8,8
22281,6,6
20941,10,10
20572,2,2
4414,4,4
14258,4,4
34042,6,6
20303,6,6
8300,10,10
27721,40,40
71,2,2
21510,18,18
15253,6,6
624,294,294
30529,4,4
23107,6,6
21865,2,2
9452,22,22
32937,2,2
8484,18,18
33909,2,2
15372,2,2
15520,6,6
8751,26,26
21626,6,6
31582,4,4
28015,10,10
6286,12,12
26322,14,14
18418,2,2
